ts_dcs,day,shift,clinker_source,mill_feed_tph,mill_power_kW,mill_vibration_mm_s,separator_speed_rpm,reject_rate_pct,feed_moisture_pct,mill_outlet_temp_C,main_bearing_temp_C,mill_sound_dB,separator_current_A,gypsum_dosage_pct,baghouse_dp_kPa,ts_lab,blaine_fineness_cm2g,residue_45um_pct,strength_3d_MPa,strength_28d_MPa,cement_temperature_C,defect_grade
2025-10-07 13:13:40,7.4,3,A,131.3,3537.1,1.75,914.8,14.98,1.11,107.7,61.8,80.6,178.1,5.61,2.009,2025-10-07 13:13:40,3848.0,4.92,18.51,42.24,112.7,A
2025-10-07 16:27:50,7.6,2,A,139.1,3516.5,1.844,893.7,8.0,0.96,108.7,70.6,78.4,196.0,5.64,2.962,2025-10-07 16:27:50,3712.0,4.63,18.95,42.47,116.9,A
2025-10-07 16:40:00,7.6,1,A,143.6,3591.4,1.664,885.7,16.33,0.87,110.2,66.7,76.7,185.0,5.58,2.69,2025-10-07 16:40:00,3775.0,5.0,18.55,42.78,117.3,A
2025-10-08 00:48:10,7.9,1,A,144.2,3510.6,2.864,928.1,13.19,0.72,110.6,66.6,84.0,177.1,4.48,2.498,2025-10-08 00:48:10,3761.0,4.49,19.15,41.26,114.8,A
2025-10-08 04:19:10,8.0,1,A,138.3,3542.0,2.691,909.4,18.94,0.57,108.3,67.4,77.9,187.7,4.66,2.116,2025-10-08 04:19:10,3736.0,4.82,18.49,42.56,112.1,A
2025-10-08 05:22:00,8.1,2,A,139.3,3599.5,3.127,897.0,17.15,0.99,110.0,63.0,79.0,179.8,3.47,2.176,2025-10-08 05:22:00,3810.0,5.39,19.23,43.08,114.9,A
2025-10-08 07:12:30,8.2,1,A,139.7,3574.3,2.077,906.4,15.92,0.65,109.7,68.0,75.7,184.8,4.19,2.065,2025-10-08 07:12:30,3759.0,5.61,18.52,42.48,114.1,A
2025-10-08 10:52:20,8.3,2,A,139.5,3428.7,3.34,903.8,16.85,0.76,110.4,68.0,74.4,179.1,4.71,2.282,2025-10-08 10:52:20,3677.0,5.09,18.78,43.65,113.4,A
2025-10-08 14:19:40,8.5,1,A,148.0,3527.0,1.959,928.1,16.5,0.4,111.7,71.3,76.5,179.1,3.24,2.065,2025-10-08 14:19:40,3869.0,4.27,18.67,41.73,117.3,A
2025-10-08 17:17:30,8.6,2,B,144.6,3616.9,2.309,919.1,19.16,0.68,115.9,71.9,83.2,186.2,3.7,2.647,2025-10-08 17:17:30,3746.0,6.36,17.42,41.4,121.8,A
2025-10-08 19:15:00,8.7,1,B,141.4,3650.9,2.869,907.1,16.51,0.69,112.9,67.8,82.6,185.5,6.13,2.204,2025-10-08 19:15:00,3711.0,5.96,17.76,42.15,119.8,A
2025-10-09 01:41:40,8.9,2,B,140.2,3654.0,2.655,899.0,16.58,0.55,113.6,66.0,79.2,190.8,4.24,2.467,2025-10-09 01:41:40,3732.0,6.99,18.22,42.03,118.9,A
2025-10-09 08:02:50,9.2,3,B,139.1,3579.3,2.031,917.3,16.3,0.4,114.2,66.7,80.0,179.2,4.01,2.452,2025-10-09 08:02:50,3701.0,5.74,16.56,41.6,118.0,A
2025-10-09 11:27:10,9.3,3,B,139.1,3574.2,2.342,918.4,13.71,0.51,110.6,68.1,95.0,185.2,4.68,2.479,2025-10-09 11:27:10,3647.0,9.61,17.68,38.81,117.5,A
2025-10-09 13:29:30,9.4,3,B,140.5,3636.9,2.282,912.0,17.23,0.57,111.3,68.6,72.8,186.2,2.7,2.425,2025-10-09 13:29:30,3787.0,6.29,18.05,41.47,118.0,A
2025-10-09 17:51:00,9.6,2,B,141.2,3598.7,2.37,921.0,21.25,0.55,112.7,68.4,78.3,189.1,4.07,2.085,2025-10-09 17:51:00,3652.0,5.52,17.85,41.72,120.5,A
2025-10-09 23:37:40,9.8,1,B,143.2,3600.6,2.619,915.0,19.75,0.5,113.1,64.8,70.3,183.5,4.33,2.233,2025-10-09 23:37:40,3678.0,6.15,18.6,42.78,122.2,A
2025-10-09 23:41:40,9.8,3,B,134.8,3564.0,1.826,912.9,18.28,0.56,111.2,67.9,77.3,184.6,4.29,1.971,2025-10-09 23:41:40,3697.0,5.56,17.56,41.7,125.0,A
2025-10-10 04:45:30,10.0,1,B,142.4,3532.6,2.33,907.2,17.88,0.4,108.6,67.5,81.9,189.3,5.42,2.654,2025-10-10 04:45:30,3728.0,6.17,17.85,41.16,110.9,A
2025-10-10 07:23:10,10.1,3,B,143.1,3548.4,2.392,906.5,18.02,0.4,107.5,63.8,76.8,179.3,4.64,1.929,2025-10-10 07:23:10,3706.0,5.78,17.86,42.65,113.1,A
2025-10-10 07:59:40,10.2,2,B,138.6,3645.1,2.325,935.7,15.35,0.4,111.7,65.3,71.0,192.8,5.08,2.399,2025-10-10 07:59:40,3643.0,5.33,19.33,41.16,113.8,A
2025-10-10 10:48:00,10.3,1,B,137.0,3620.0,2.37,905.2,18.3,0.4,109.7,65.3,85.9,184.0,3.59,2.109,2025-10-10 10:48:00,3761.0,6.37,17.41,41.25,115.1,A
2025-10-10 12:24:30,10.3,2,B,134.0,3585.8,2.609,918.5,17.57,0.4,108.0,64.9,70.3,187.0,2.97,2.315,2025-10-10 12:24:30,3734.0,2.04,17.75,41.33,111.2,A
2025-10-10 17:15:40,10.5,2,B,140.2,3598.5,2.254,915.7,18.88,0.4,108.7,65.8,77.0,182.5,5.71,2.284,2025-10-10 17:15:40,3404.0,5.78,17.63,41.18,113.9,A
2025-10-10 17:56:00,10.6,2,B,138.7,3620.0,2.974,903.7,21.18,0.43,109.2,64.9,71.8,185.5,5.38,1.668,2025-10-10 17:56:00,3487.0,7.2,17.45,41.29,115.8,A
2025-10-11 10:05:30,11.2,1,B,142.7,3605.3,2.797,913.3,19.08,0.52,109.2,63.9,77.6,181.5,5.73,2.273,2025-10-11 10:05:30,3673.0,5.59,17.53,40.82,114.3,A
2025-10-11 12:36:10,11.3,1,B,146.1,3605.4,2.79,913.6,15.57,0.4,107.5,61.6,73.5,187.4,4.09,1.85,2025-10-11 12:36:10,3730.0,6.63,17.73,40.37,114.9,A
2025-10-11 14:26:10,11.4,3,B,139.1,3636.1,2.568,927.5,16.45,0.82,103.4,62.2,74.4,182.3,3.87,2.252,2025-10-11 14:26:10,3715.0,6.26,17.05,41.62,111.1,A
2025-10-11 16:13:30,11.5,3,B,139.7,3582.4,2.668,913.8,15.11,0.43,106.6,64.2,77.6,189.6,3.36,2.205,2025-10-11 16:13:30,3746.0,5.98,17.44,40.74,111.9,A
2025-10-11 18:09:20,11.6,1,B,148.6,3619.8,2.206,929.4,15.79,0.71,106.1,62.3,73.6,185.6,4.13,2.116,2025-10-11 18:09:20,3724.0,6.16,17.86,40.27,110.9,A
2025-10-12 02:46:00,11.9,1,B,137.6,3610.8,2.653,925.9,19.33,0.59,98.6,60.2,80.2,188.9,4.04,2.245,2025-10-12 02:46:00,3704.0,6.25,17.73,41.29,104.2,A
2025-10-12 09:59:20,12.2,1,B,139.6,3614.4,2.958,934.7,18.67,0.67,105.0,63.5,73.2,191.0,3.66,2.013,2025-10-12 09:59:20,3697.0,6.31,17.59,39.88,109.9,A
2025-10-12 10:17:30,12.2,3,B,145.3,3584.8,2.349,941.5,12.46,0.77,108.1,62.8,83.4,188.4,6.21,2.46,2025-10-12 10:17:30,3704.0,6.07,16.86,41.48,114.8,A
2025-10-12 14:11:20,12.4,1,B,138.3,3586.0,2.39,915.4,14.11,0.79,104.6,63.1,80.6,180.4,4.69,2.685,2025-10-12 14:11:20,3551.0,5.99,17.28,41.72,111.0,A
2025-10-12 17:17:00,12.5,1,B,136.8,3627.4,2.252,930.3,22.1,0.89,104.0,65.0,71.3,186.6,5.24,1.707,2025-10-12 17:17:00,3639.0,6.05,17.44,41.53,111.8,A
2025-10-12 21:04:40,12.7,3,B,134.8,3600.7,1.939,939.2,16.87,0.4,103.0,62.5,70.2,185.6,4.39,1.832,2025-10-12 21:04:40,3547.0,6.39,16.29,42.24,109.4,A
2025-10-12 23:28:20,12.8,3,B,137.0,3649.4,2.75,927.3,18.11,0.56,105.4,63.4,74.5,191.4,5.42,1.678,2025-10-12 23:28:20,3728.0,6.28,17.51,40.89,111.8,A
2025-10-13 04:25:10,13.0,3,B,136.0,3599.0,1.784,925.9,15.82,0.52,93.8,68.0,74.3,190.7,4.61,2.271,2025-10-13 04:25:10,3642.0,6.48,17.66,39.76,98.2,A
2025-10-13 09:23:00,13.2,1,B,134.6,3560.8,2.715,932.6,17.87,0.91,107.9,66.6,72.5,190.3,5.27,1.435,2025-10-13 09:23:00,3689.0,6.48,17.85,41.3,113.4,A
2025-10-13 11:42:00,13.3,3,B,139.7,3582.0,2.879,918.7,18.49,0.85,101.2,63.9,73.7,181.0,4.21,2.075,2025-10-13 11:42:00,3595.0,6.08,17.48,41.78,113.3,A
2025-10-13 12:46:40,13.3,1,B,145.9,3581.4,2.941,896.2,18.62,0.81,107.4,64.3,84.6,186.7,4.92,2.114,2025-10-13 12:46:40,3697.0,7.16,17.24,40.98,112.8,A
2025-10-13 13:00:30,13.3,3,B,133.4,3613.7,1.942,927.9,13.71,0.9,107.3,59.2,74.6,177.7,5.23,1.728,2025-10-13 13:00:30,3847.0,6.77,18.12,41.83,113.1,A
2025-10-14 00:40:30,13.8,1,B,143.5,3529.5,3.184,921.2,20.41,1.32,107.3,66.7,78.2,190.2,3.98,1.893,2025-10-14 00:40:30,3699.0,6.22,18.04,41.22,113.8,A
2025-10-14 00:56:40,13.8,1,B,140.4,3566.5,2.415,931.9,16.35,1.08,109.4,64.9,76.0,185.8,2.76,2.476,2025-10-14 00:56:40,3689.0,7.71,17.59,41.34,114.1,A
2025-10-14 05:03:00,14.0,1,B,139.5,3575.7,2.496,935.7,17.78,1.09,112.7,67.0,67.4,187.1,4.25,1.596,2025-10-14 05:03:00,3718.0,7.02,17.75,41.59,121.0,A
2025-10-14 07:32:40,14.1,1,B,148.0,3562.4,2.804,937.3,15.51,1.34,106.4,67.5,75.7,180.4,5.65,2.018,2025-10-14 07:32:40,3701.0,6.31,17.76,41.07,110.2,A
2025-10-14 13:35:50,14.3,1,B,142.7,3571.2,2.418,910.6,19.0,1.5,110.9,66.8,74.9,181.1,5.36,1.894,2025-10-14 13:35:50,3680.0,6.43,17.25,41.09,114.5,A
2025-10-14 18:24:40,14.5,2,B,150.6,3564.4,1.829,947.1,18.42,1.31,107.6,66.6,67.9,188.5,6.12,1.959,2025-10-14 18:24:40,3817.0,6.58,17.13,40.87,115.0,A
2025-10-15 02:18:00,14.8,1,B,142.6,3582.4,3.188,921.3,19.14,1.48,109.2,69.2,75.0,190.1,3.46,1.904,2025-10-15 02:18:00,3709.0,6.62,16.87,41.41,115.3,A
2025-10-15 10:22:50,15.2,1,A,144.0,3461.9,3.056,929.9,19.78,1.65,111.4,70.4,78.0,191.8,5.29,1.342,2025-10-15 10:22:50,3727.0,4.98,18.6,41.85,122.9,A
2025-10-15 15:56:50,15.4,2,A,139.5,3438.2,2.436,918.8,16.54,1.76,112.0,68.7,64.5,190.7,4.95,2.009,2025-10-15 15:56:50,3740.0,6.03,18.36,42.75,116.5,A
2025-10-15 16:00:30,15.4,3,A,137.5,3456.9,3.046,922.0,23.05,1.42,108.8,65.3,66.2,184.3,5.4,1.721,2025-10-15 16:00:30,4193.0,5.83,18.44,41.6,117.0,A
2025-10-15 16:49:40,15.4,3,A,140.8,3451.4,2.088,930.6,18.7,1.37,115.7,70.3,77.7,189.4,4.22,2.101,2025-10-15 16:49:40,3758.0,6.0,17.77,42.57,122.6,A
2025-10-15 18:41:20,15.5,2,A,144.1,3446.0,2.956,928.7,18.6,1.62,111.2,68.5,71.4,192.6,5.39,2.592,2025-10-15 18:41:20,3738.0,5.21,17.74,40.95,116.3,A
2025-10-15 23:44:50,15.7,1,A,136.3,3440.9,1.512,943.7,18.55,1.73,111.0,68.5,71.6,188.1,3.3,2.202,2025-10-15 23:44:50,3796.0,5.4,18.34,42.01,117.3,A
2025-10-16 01:12:50,15.8,3,A,141.4,3434.7,2.341,909.0,10.86,1.75,112.2,69.1,70.7,184.3,3.46,1.878,2025-10-16 01:12:50,3683.0,5.9,18.19,42.72,118.3,A
2025-10-16 06:29:10,16.0,3,A,142.9,3465.7,2.384,924.6,20.88,1.52,111.3,68.5,86.9,190.3,4.03,1.478,2025-10-16 06:29:10,3662.0,5.57,18.36,41.71,115.5,A
2025-10-16 10:51:40,16.2,2,A,131.4,3370.3,3.345,943.5,18.61,1.9,107.8,69.1,73.5,193.2,4.74,1.732,2025-10-16 10:51:40,3613.0,6.04,18.41,41.56,113.6,A
2025-10-16 16:53:00,16.4,1,A,145.5,3474.3,2.952,942.6,17.64,1.89,111.3,69.0,71.5,186.8,3.8,1.542,2025-10-16 16:53:00,3704.0,6.48,18.33,42.86,117.6,A
2025-10-16 19:01:00,16.5,2,A,137.7,3410.9,2.625,957.9,18.33,1.7,113.9,70.0,68.3,180.6,4.9,1.922,2025-10-16 19:01:00,3719.0,4.39,17.72,40.96,120.1,A
2025-10-17 00:31:50,16.7,2,A,134.1,3422.1,2.947,949.9,18.52,2.04,111.0,70.8,79.4,189.9,4.5,1.551,2025-10-17 00:31:50,3652.0,6.19,18.26,41.14,116.3,A
2025-10-17 01:39:50,16.8,1,A,139.2,3441.5,2.594,961.6,19.64,1.93,110.3,69.2,75.3,190.7,4.53,1.839,2025-10-17 01:39:50,3730.0,5.8,17.79,41.02,114.3,A
2025-10-17 08:05:30,17.0,3,A,136.4,3447.8,3.606,939.8,18.26,2.21,105.6,66.2,56.8,181.0,4.26,1.984,2025-10-17 08:05:30,3676.0,6.12,17.78,41.51,109.7,A
2025-10-17 10:51:40,17.1,2,A,133.7,3424.1,2.181,935.8,17.74,1.93,110.8,68.0,73.5,179.8,4.49,2.398,2025-10-17 10:51:40,3691.0,6.15,17.69,42.02,115.4,A
2025-10-17 20:12:00,17.5,1,A,141.0,3388.3,3.376,929.9,21.0,1.77,110.5,66.4,70.4,181.1,5.25,1.716,2025-10-17 20:12:00,3655.0,6.05,18.26,42.21,115.2,A
2025-10-17 23:43:00,17.7,3,A,137.2,3441.5,2.128,943.9,19.31,1.88,109.2,67.1,64.6,185.8,3.28,1.446,2025-10-17 23:43:00,3665.0,5.96,17.63,42.15,117.3,A
2025-10-18 06:12:00,17.9,1,A,143.6,3479.5,2.991,944.9,19.59,1.91,108.3,64.4,63.3,187.2,3.52,1.285,2025-10-18 06:12:00,3632.0,6.3,18.43,41.16,99.9,A
2025-10-18 09:34:20,18.1,3,A,137.1,3369.8,2.46,966.4,19.1,1.81,106.2,66.3,70.0,179.9,4.78,2.04,2025-10-18 09:34:20,3794.0,5.87,17.98,41.66,108.6,A
2025-10-18 12:25:10,18.2,3,A,140.1,3415.1,2.848,945.2,20.17,1.98,109.9,65.5,69.6,184.0,4.27,1.643,2025-10-18 12:25:10,3673.0,7.78,17.94,41.75,116.8,A
2025-10-18 17:06:00,18.4,2,A,140.8,3418.5,2.784,942.6,21.07,1.81,105.9,64.3,72.0,189.4,4.6,1.465,2025-10-18 17:06:00,3791.0,6.33,18.06,41.24,111.7,A
2025-10-18 23:43:30,18.6,2,A,141.3,3398.4,3.041,971.5,19.04,1.73,102.0,63.8,76.2,188.2,2.9,1.867,2025-10-18 23:43:30,3724.0,5.93,18.01,42.1,106.4,A
