ts_dcs,ts_qcs,day,shift,grade_running,grade,headbox_pressure_kPa,approach_flow_lpm,fan_pump_speed_rpm,white_water_consistency_pct,retention_aid_dosage_ppm,slice_opening_mm,machine_speed_mmin,stock_temp_C,jet_to_wire_ratio,vacuum_pump1_kPa,vacuum_pump2_kPa,cd_basis_weight_cv_pct,formation_index,ash_content_pct,strength_rel_pct,defect_grade,defect_grade_numeric
2025-10-01 20:28:15,2025-10-01 20:28:15,1.6,2,GSM80,GSM80,15.08,3875.0,879.9,0.821,176.2,8.74,1313.4,41.7,1.006,42.5,49.3,0.747,8.19,23.72,102.2,A,3
2025-10-02 00:00:15,2025-10-02 00:00:15,1.7,2,GSM100,GSM100,16.68,4364.0,871.7,0.791,190.3,9.6,1516.1,39.6,1.004,53.4,43.0,0.657,8.86,22.77,100.1,A,3
2025-10-02 00:11:45,2025-10-02 00:11:45,1.7,1,GSM100,GSM100,16.99,4459.0,875.1,0.891,210.3,10.27,1516.6,39.8,1.017,52.9,44.6,0.74,8.28,26.16,99.4,A,3
2025-10-02 00:57:30,2025-10-02 00:57:30,1.7,1,GSM100,GSM100,16.65,4403.0,878.1,0.887,190.1,9.35,1499.8,39.6,1.046,55.2,51.0,0.813,8.1,27.17,101.3,A,3
2025-10-02 01:10:45,2025-10-02 01:10:45,1.8,1,GSM100,GSM100,17.12,4393.0,873.2,1.002,175.6,9.43,1506.0,40.4,1.062,49.8,49.5,0.478,8.36,18.0,100.3,A,3
2025-10-02 05:31:30,2025-10-02 05:31:30,1.9,1,GSM80,GSM80,14.52,3878.0,879.5,0.857,182.0,8.01,1320.8,41.9,1.065,55.3,44.0,0.366,8.31,23.29,97.5,A,3
2025-10-02 05:44:30,2025-10-02 05:44:30,1.9,1,GSM80,GSM80,14.8,3882.0,877.0,0.771,191.2,8.85,1313.4,41.7,1.024,48.9,51.1,0.15,8.1,21.46,100.7,A,3
2025-10-02 06:35:45,2025-10-02 06:35:45,2.0,2,GSM100,GSM100,17.31,4412.0,877.7,0.987,170.6,9.31,1503.4,42.5,1.051,46.8,59.0,0.608,8.31,21.56,100.3,A,3
2025-10-02 08:28:15,2025-10-02 08:28:15,2.0,1,GSM100,GSM100,17.33,4466.0,892.9,0.882,196.4,9.77,1522.1,44.4,1.014,41.0,44.7,0.448,8.91,26.72,98.7,A,3
2025-10-02 09:45:45,2025-10-02 09:45:45,2.1,2,GSM100,GSM100,17.46,4384.0,876.9,0.818,178.0,9.37,1504.6,44.9,0.973,58.3,49.8,0.666,8.36,23.58,101.4,A,3
2025-10-02 10:23:00,2025-10-02 10:23:00,2.1,2,GSM100,GSM100,16.99,4409.0,883.7,0.709,191.8,9.81,1507.6,44.4,1.004,44.9,59.1,0.15,8.22,26.21,102.4,A,3
2025-10-02 10:29:00,2025-10-02 10:29:00,2.1,2,GSM100,GSM100,16.71,4394.0,887.1,0.867,197.0,10.01,1509.1,44.8,1.03,57.8,48.7,0.813,8.39,22.32,103.1,A,3
2025-10-02 10:57:15,2025-10-02 10:57:15,2.1,1,GSM100,GSM100,17.18,4396.0,885.8,0.845,189.4,10.65,1512.4,41.6,1.004,48.2,41.5,0.42,8.33,26.06,100.6,A,3
2025-10-02 11:28:00,2025-10-02 11:28:00,2.2,1,GSM120,GSM120,20.04,4908.0,892.0,0.875,173.6,11.12,1692.4,45.9,1.037,52.4,43.2,0.987,8.22,25.16,99.1,A,3
2025-10-02 11:32:15,2025-10-02 11:32:15,2.2,1,GSM120,GSM120,19.82,5005.0,881.8,0.883,188.5,11.29,1715.0,49.0,1.035,42.3,44.4,0.719,9.04,22.11,98.2,A,3
2025-10-02 11:35:15,2025-10-02 11:35:15,2.2,1,GSM120,GSM120,19.76,4987.0,880.2,0.902,182.4,11.54,1711.4,43.4,1.059,63.0,49.9,0.859,8.27,23.14,95.9,A,3
2025-10-02 12:19:00,2025-10-02 12:19:00,2.2,2,GSM120,GSM120,19.08,4961.0,884.4,0.923,179.4,10.54,1722.3,46.7,1.005,49.5,58.6,0.88,8.51,23.55,99.6,A,3
2025-10-02 13:18:30,2025-10-02 13:18:30,2.2,1,GSM120,GSM120,19.83,4943.0,884.2,0.815,187.8,10.31,1702.3,45.9,0.97,54.1,53.4,0.801,8.07,22.18,103.7,A,3
2025-10-02 13:24:30,2025-10-02 13:24:30,2.2,1,GSM120,GSM120,19.95,5025.0,878.8,1.075,179.0,11.6,1696.6,45.2,1.006,61.1,47.5,0.514,8.29,23.26,100.9,A,3
2025-10-02 14:00:30,2025-10-02 14:00:30,2.3,2,GSM120,GSM120,19.82,4985.0,884.0,0.88,182.7,11.35,1710.7,44.4,1.066,49.9,49.2,0.352,8.65,24.71,105.0,A,3
2025-10-02 14:25:30,2025-10-02 14:25:30,2.3,1,GSM120,GSM120,20.28,4991.0,872.8,0.888,177.2,11.36,1653.7,45.4,1.053,47.7,41.9,0.15,8.49,22.81,101.7,A,3
2025-10-02 14:44:00,2025-10-02 14:44:00,2.3,2,GSM120,GSM120,19.8,5067.0,886.5,0.836,188.9,10.43,1697.3,47.0,1.036,52.4,49.2,0.597,8.59,23.63,98.1,A,3
2025-10-02 15:02:00,2025-10-02 15:02:00,2.3,1,GSM120,GSM120,19.69,5005.0,873.1,0.703,179.6,11.26,1706.1,44.8,1.052,46.4,51.3,0.892,8.41,26.39,100.5,A,3
2025-10-02 16:41:15,2025-10-02 16:41:15,2.4,2,GSM80,GSM80,14.87,3935.0,879.6,0.869,187.4,7.98,1331.1,45.9,1.001,50.8,52.0,0.15,8.32,24.02,99.7,A,3
2025-10-02 17:37:45,2025-10-02 17:37:45,2.4,2,GSM80,GSM80,14.86,3917.0,874.2,0.82,191.5,8.87,1322.8,44.7,1.035,53.0,52.6,0.41,8.25,23.36,96.8,A,3
2025-10-02 18:24:00,2025-10-02 18:24:00,2.4,2,GSM80,GSM80,14.9,3897.0,875.8,0.624,187.8,8.2,1310.2,40.6,1.004,50.3,50.5,0.769,8.63,25.14,100.3,A,3
2025-10-02 18:40:15,2025-10-02 18:40:15,2.4,2,GSM80,GSM80,15.15,3862.0,879.8,0.829,186.6,8.88,1322.2,43.8,1.047,49.4,49.2,0.308,8.08,23.48,102.7,A,3
2025-10-02 19:33:15,2025-10-02 19:33:15,2.5,2,GSM100,GSM100,16.83,4373.0,874.8,0.826,181.6,9.48,1501.8,43.0,0.984,48.0,52.9,0.927,8.76,21.25,97.8,A,3
2025-10-02 20:05:15,2025-10-02 20:05:15,2.5,2,GSM100,GSM100,17.36,4421.0,877.8,0.803,187.2,9.9,1526.9,42.8,1.007,47.6,41.3,0.448,8.24,25.0,99.7,A,3
2025-10-02 20:51:30,2025-10-02 20:51:30,2.5,1,GSM100,GSM100,16.88,4389.0,878.3,0.834,179.8,9.83,1481.7,41.3,1.101,51.5,49.2,1.453,8.66,23.27,101.2,B,2
2025-10-02 21:17:45,2025-10-02 21:17:45,2.6,2,GSM100,GSM100,17.12,4378.0,880.3,1.034,183.0,8.91,1511.3,41.7,0.977,52.5,40.2,0.915,9.19,25.89,102.7,A,3
2025-10-02 21:34:00,2025-10-02 21:34:00,2.6,1,GSM120,GSM120,19.87,4926.0,881.7,0.891,188.5,12.49,1697.8,41.6,1.011,54.7,46.8,0.462,8.65,23.38,98.3,A,3
2025-10-02 22:12:15,2025-10-02 22:12:15,2.6,1,GSM120,GSM120,19.79,4996.0,880.6,0.91,191.9,11.69,1700.5,40.9,1.035,49.4,49.1,0.563,8.57,24.02,100.6,A,3
2025-10-02 23:04:00,2025-10-02 23:04:00,2.6,1,GSM120,GSM120,19.75,4822.0,874.6,0.781,171.5,11.33,1710.5,40.7,1.022,48.3,43.1,0.581,8.96,23.33,98.5,A,3
2025-10-02 23:28:45,2025-10-02 23:28:45,2.6,2,GSM120,GSM120,19.94,4980.0,882.9,0.839,193.8,11.47,1692.8,40.3,1.024,55.5,49.3,0.758,8.35,22.06,101.8,A,3
2025-10-03 00:02:15,2025-10-03 00:02:15,2.7,1,GSM120,GSM120,19.56,4985.0,878.2,0.819,182.6,11.05,1715.2,40.7,1.039,57.8,46.0,0.487,7.89,26.1,99.8,A,3
2025-10-03 00:55:30,2025-10-03 00:55:30,2.7,1,GSM120,GSM120,19.8,4919.0,880.0,0.645,175.5,11.99,1709.2,40.2,0.991,53.8,52.3,0.439,8.1,24.02,97.2,A,3
2025-10-03 01:15:45,2025-10-03 01:15:45,2.7,1,GSM120,GSM120,19.85,5026.0,886.5,0.812,186.4,10.71,1710.6,40.8,1.0,51.7,47.3,0.644,8.34,25.15,98.0,A,3
2025-10-03 01:34:00,2025-10-03 01:34:00,2.7,2,GSM120,GSM120,19.63,5030.0,876.4,0.924,176.4,11.01,1712.4,39.6,1.048,44.5,43.7,0.718,7.99,24.4,101.3,A,3
2025-10-03 02:54:00,2025-10-03 02:54:00,2.8,1,GSM80,GSM80,15.14,3899.0,872.4,0.898,172.9,8.39,1318.8,38.8,1.003,46.8,49.1,1.892,8.81,23.9,99.8,B,2
2025-10-03 03:17:15,2025-10-03 03:17:15,2.8,2,GSM80,GSM80,14.83,3926.0,883.4,0.832,166.3,8.17,1322.3,40.3,1.015,47.1,44.4,0.503,8.44,23.64,98.2,A,3
2025-10-03 03:34:15,2025-10-03 03:34:15,2.8,2,GSM80,GSM80,15.05,3892.0,886.3,0.865,177.9,8.56,1300.3,40.3,1.023,39.6,44.2,0.413,8.3,22.76,98.9,A,3
2025-10-03 03:40:15,2025-10-03 03:40:15,2.8,1,GSM80,GSM80,14.59,3903.0,876.2,0.903,163.6,7.88,1316.0,40.2,1.013,53.9,45.8,0.605,8.65,24.61,97.9,A,3
2025-10-03 04:20:30,2025-10-03 04:20:30,2.8,2,GSM80,GSM80,15.01,3825.0,874.8,0.964,177.6,8.19,1319.1,40.9,0.97,47.8,56.7,0.243,8.71,25.65,99.6,A,3
2025-10-03 04:55:15,2025-10-03 04:55:15,2.9,2,GSM80,GSM80,15.34,3884.0,885.9,0.851,180.3,9.55,1299.9,41.6,1.006,52.1,54.0,0.301,8.59,21.7,96.0,A,3
2025-10-03 05:13:30,2025-10-03 05:13:30,2.9,2,GSM80,GSM80,14.57,3886.0,878.2,0.885,193.3,8.35,1328.0,40.8,0.992,45.2,43.8,0.333,8.89,26.82,98.3,A,3
2025-10-03 05:45:00,2025-10-03 05:45:00,2.9,2,GSM80,GSM80,15.06,3855.0,884.4,0.87,170.3,9.04,1291.9,44.0,1.057,61.2,45.3,0.196,8.58,19.17,100.0,A,3
2025-10-03 05:57:30,2025-10-03 05:57:30,2.9,1,GSM80,GSM80,14.87,3919.0,877.4,0.802,177.6,9.3,1320.5,43.4,1.031,46.1,47.2,0.15,8.57,27.7,100.8,A,3
2025-10-03 07:45:00,2025-10-03 07:45:00,3.0,1,GSM100,GSM100,17.55,4599.0,886.5,0.967,165.6,8.86,1487.7,42.9,1.034,60.6,43.3,0.698,8.49,23.95,101.0,A,3
2025-10-03 08:32:45,2025-10-03 08:32:45,3.0,1,GSM100,GSM100,16.63,4530.0,871.4,0.979,173.0,9.34,1511.2,42.7,1.041,58.1,51.1,0.986,8.49,28.13,101.7,A,3
2025-10-03 08:40:30,2025-10-03 08:40:30,3.0,2,GSM100,GSM100,17.44,4358.0,884.7,0.892,184.9,9.13,1501.2,43.9,1.067,52.9,58.2,0.611,8.46,26.49,102.6,A,3
2025-10-03 09:05:00,2025-10-03 09:05:00,3.0,1,GSM100,GSM100,17.2,4397.0,881.8,0.904,177.7,10.04,1507.6,43.8,1.004,58.6,49.7,0.554,8.69,23.0,98.1,A,3
2025-10-03 09:58:30,2025-10-03 09:58:30,3.1,1,GSM100,GSM100,17.16,4412.0,870.1,0.834,167.2,10.62,1502.8,45.3,1.073,55.1,43.2,0.549,8.3,21.08,102.9,A,3
2025-10-03 10:02:45,2025-10-03 10:02:45,3.1,1,GSM100,GSM100,17.17,4385.0,875.7,0.94,173.2,9.65,1503.4,44.0,1.044,49.5,48.4,0.365,8.62,21.88,102.8,A,3
2025-10-03 10:11:15,2025-10-03 10:11:15,3.1,1,GSM100,GSM100,17.16,4393.0,877.7,0.905,177.7,9.82,1514.2,45.0,0.991,44.6,47.0,0.64,8.72,24.82,101.3,A,3
2025-10-03 10:37:00,2025-10-03 10:37:00,3.1,2,GSM120,GSM120,19.56,4967.0,883.7,0.727,177.7,10.8,1703.2,45.3,1.03,50.4,48.7,0.243,8.37,26.03,101.6,A,3
2025-10-03 11:44:45,2025-10-03 11:44:45,3.1,2,GSM120,GSM120,19.45,4979.0,894.5,0.841,188.6,11.02,1714.7,46.0,1.004,58.5,47.7,0.918,8.44,22.74,97.6,A,3
2025-10-03 12:06:30,2025-10-03 12:06:30,3.1,2,GSM120,GSM120,19.87,5089.0,875.5,0.792,192.4,11.5,1704.3,45.7,1.083,53.7,46.0,0.508,8.57,25.0,103.0,A,3
2025-10-03 16:24:15,2025-10-03 16:24:15,3.3,1,GSM100,GSM100,17.01,4312.0,874.4,0.86,177.4,9.54,1513.3,46.3,0.999,52.1,46.2,0.412,8.08,24.96,102.4,A,3
2025-10-03 16:50:30,2025-10-03 16:50:30,3.3,1,GSM100,GSM100,16.66,4334.0,880.5,0.812,189.8,10.05,1521.0,45.8,1.028,56.1,48.1,0.448,8.72,26.89,101.9,A,3
2025-10-03 17:00:45,2025-10-03 17:00:45,3.3,1,GSM100,GSM100,16.81,4366.0,884.3,0.859,156.3,10.19,1514.2,46.3,1.019,51.5,58.2,0.591,8.41,23.85,99.9,A,3
2025-10-03 17:37:15,2025-10-03 17:37:15,3.4,2,GSM100,GSM100,17.27,4388.0,888.7,0.847,161.1,9.96,1503.1,45.7,1.05,50.7,40.8,0.768,8.83,23.51,97.8,A,3
2025-10-03 17:46:15,2025-10-03 17:46:15,3.4,1,GSM100,GSM100,17.09,4382.0,874.3,0.914,169.1,10.65,1510.9,45.6,0.955,50.6,48.0,0.715,8.52,25.78,99.0,A,3
2025-10-03 17:56:00,2025-10-03 17:56:00,3.4,2,GSM100,GSM100,16.77,4249.0,877.1,0.944,196.3,9.96,1508.8,45.2,0.99,47.0,46.0,0.15,8.61,25.72,96.8,A,3
2025-10-03 21:43:15,2025-10-03 21:43:15,3.5,1,GSM120,GSM120,19.56,5005.0,880.9,0.877,157.9,10.68,1686.9,43.3,1.046,49.7,32.3,1.047,8.2,23.13,105.0,A,3
2025-10-03 21:53:15,2025-10-03 21:53:15,3.5,1,GSM120,GSM120,19.69,5041.0,876.7,0.805,185.4,11.14,1708.9,43.8,1.031,51.5,44.3,0.507,8.92,21.75,100.7,A,3
2025-10-03 23:24:30,2025-10-03 23:24:30,3.6,1,GSM80,GSM80,14.58,3871.0,875.2,0.966,182.6,9.07,1319.7,42.6,0.958,51.0,55.5,1.076,8.49,24.38,99.7,A,3
2025-10-03 23:41:30,2025-10-03 23:41:30,3.6,2,GSM80,GSM80,14.61,3902.0,882.7,0.762,165.9,8.46,1326.1,42.1,1.072,50.6,43.7,0.547,8.64,22.7,98.3,A,3
2025-10-04 00:00:30,2025-10-04 00:00:30,3.6,2,GSM80,GSM80,14.65,3906.0,879.1,0.878,179.5,9.31,1325.2,41.8,1.075,51.7,36.6,0.313,8.39,20.39,100.4,A,3
2025-10-04 00:25:00,2025-10-04 00:25:00,3.6,2,GSM80,GSM80,14.39,3893.0,876.4,0.92,187.8,8.23,1319.4,42.0,1.029,46.3,48.8,0.918,8.44,23.99,101.3,A,3
2025-10-04 00:49:15,2025-10-04 00:49:15,3.6,1,GSM80,GSM80,14.54,3881.0,874.1,0.822,183.3,7.96,1318.1,40.5,1.008,60.1,55.1,0.493,8.52,24.42,96.7,A,3
2025-10-04 01:30:00,2025-10-04 01:30:00,3.7,2,GSM80,GSM80,14.54,3861.0,883.0,0.773,192.7,8.32,1318.4,40.8,1.006,52.2,39.5,0.39,8.13,24.19,100.1,A,3
2025-10-04 02:15:30,2025-10-04 02:15:30,3.7,1,GSM100,GSM100,17.08,4469.0,878.1,0.769,188.0,9.61,1472.6,40.5,0.978,44.3,56.3,0.815,8.58,24.63,100.3,A,3
2025-10-04 03:47:45,2025-10-04 03:47:45,3.8,2,GSM100,GSM100,16.44,4363.0,890.3,0.861,174.5,10.44,1515.9,40.1,0.938,55.8,51.5,0.182,8.68,25.29,99.2,A,3
2025-10-04 03:58:30,2025-10-04 03:58:30,3.8,1,GSM100,GSM100,16.98,4454.0,869.7,0.779,185.7,9.35,1502.6,41.8,0.999,52.3,49.2,0.39,8.1,25.2,98.4,A,3
2025-10-04 04:40:45,2025-10-04 04:40:45,3.8,2,GSM100,GSM100,16.3,4436.0,880.6,0.844,173.2,9.53,1513.0,41.3,0.99,52.0,48.1,0.42,8.71,20.63,102.0,A,3
2025-10-04 05:06:45,2025-10-04 05:06:45,3.8,1,GSM120,GSM120,19.98,4927.0,868.7,0.889,196.1,11.24,1715.6,41.1,1.033,44.6,48.6,0.62,8.11,24.82,98.5,A,3
2025-10-04 05:46:30,2025-10-04 05:46:30,3.8,1,GSM120,GSM120,19.14,4914.0,871.0,0.949,178.5,10.78,1693.2,39.6,1.011,41.7,50.6,0.791,8.32,27.4,98.8,A,3
2025-10-04 06:34:30,2025-10-04 06:34:30,3.9,1,GSM120,GSM120,19.18,5029.0,867.8,0.848,172.0,11.3,1694.1,42.6,1.031,53.3,49.0,0.909,8.63,24.51,100.4,A,3
2025-10-04 06:48:45,2025-10-04 06:48:45,3.9,2,GSM120,GSM120,19.68,5004.0,889.4,0.824,190.5,11.68,1687.1,40.9,1.064,47.8,48.7,0.63,8.55,24.23,102.6,A,3
2025-10-04 07:03:15,2025-10-04 07:03:15,3.9,1,GSM120,GSM120,19.49,4991.0,875.6,0.909,175.9,11.15,1661.1,41.8,1.048,60.4,41.7,0.622,8.36,23.25,99.5,A,3
2025-10-04 08:01:45,2025-10-04 08:01:45,3.9,1,GSM120,GSM120,19.51,5002.0,880.0,0.793,185.0,11.67,1713.0,42.6,1.012,54.0,51.3,0.69,8.4,27.07,101.0,A,3
2025-10-04 08:40:45,2025-10-04 08:40:45,4.0,1,GSM120,GSM120,19.76,4927.0,878.8,0.994,186.7,11.15,1695.9,41.7,1.005,56.4,32.2,0.849,8.35,23.48,101.5,A,3
2025-10-04 08:51:15,2025-10-04 08:51:15,4.0,1,GSM80,GSM80,14.6,3841.0,876.9,0.859,172.1,8.21,1318.3,43.0,1.038,57.2,46.8,0.342,8.54,22.52,105.0,A,3
2025-10-04 10:06:00,2025-10-04 10:06:00,4.0,1,GSM80,GSM80,14.31,3871.0,878.8,0.754,172.7,7.52,1328.9,43.8,1.025,51.3,43.6,0.454,8.44,24.84,101.3,A,3
2025-10-04 11:51:00,2025-10-04 11:51:00,4.1,1,GSM100,GSM100,16.42,4401.0,882.9,0.84,177.0,9.9,1500.5,45.0,1.03,55.1,41.8,0.691,8.26,23.87,101.1,A,3
2025-10-04 12:30:30,2025-10-04 12:30:30,4.1,2,GSM100,GSM100,16.39,4373.0,879.7,0.83,178.2,8.64,1526.8,45.6,1.058,44.0,41.5,0.15,8.54,23.43,101.2,A,3
2025-10-04 13:01:15,2025-10-04 13:01:15,4.1,1,GSM100,GSM100,16.53,4424.0,884.7,0.936,191.2,9.9,1514.2,46.3,0.999,56.3,48.5,0.909,8.22,23.46,101.8,A,3
2025-10-04 13:51:00,2025-10-04 13:51:00,4.2,2,GSM100,GSM100,16.61,4379.0,879.8,0.805,200.2,8.95,1504.4,46.0,1.043,49.9,42.0,1.442,8.24,24.82,101.4,B,2
2025-10-04 14:18:00,2025-10-04 14:18:00,4.2,1,GSM100,GSM100,16.74,4471.0,876.6,0.824,178.0,8.64,1520.9,46.7,1.046,55.6,51.7,0.636,8.53,24.89,102.0,A,3
2025-10-04 15:07:00,2025-10-04 15:07:00,4.2,1,GSM120,GSM120,20.04,5068.0,874.8,0.777,191.5,12.65,1698.5,45.4,1.016,41.9,50.3,0.882,8.61,26.65,97.3,A,3
2025-10-04 15:18:00,2025-10-04 15:18:00,4.2,2,GSM120,GSM120,19.52,4999.0,892.1,0.789,177.5,11.76,1709.2,46.3,1.039,55.9,47.5,0.625,8.12,28.71,98.6,A,3
2025-10-04 15:56:30,2025-10-04 15:56:30,4.2,1,GSM120,GSM120,19.31,5009.0,881.0,0.822,172.5,11.26,1558.7,46.6,1.074,56.5,49.3,0.583,8.36,23.52,101.1,A,3
2025-10-04 17:05:15,2025-10-04 17:05:15,4.3,2,GSM120,GSM120,19.19,4992.0,885.8,0.852,195.4,9.88,1713.5,47.7,1.023,44.1,45.7,0.653,8.25,22.97,101.0,A,3
2025-10-04 17:19:45,2025-10-04 17:19:45,4.3,1,GSM120,GSM120,19.17,5051.0,885.0,0.913,197.9,11.35,1704.0,48.1,1.015,48.1,50.9,1.306,8.11,25.33,98.8,B,2
2025-10-04 17:35:45,2025-10-04 17:35:45,4.3,1,GSM120,GSM120,19.32,5026.0,875.6,0.851,181.3,11.02,1692.7,46.9,1.004,55.9,53.0,0.732,8.65,21.11,98.5,A,3
2025-10-04 17:42:15,2025-10-04 17:42:15,4.3,1,GSM120,GSM120,19.4,4958.0,874.0,1.021,199.0,11.2,1702.4,45.8,1.001,56.9,41.7,0.481,8.05,25.87,98.7,A,3
2025-10-04 18:28:15,2025-10-04 18:28:15,4.3,1,GSM80,GSM80,14.86,3853.0,880.8,0.739,171.4,8.32,1324.5,45.9,1.084,49.8,39.7,0.545,8.17,22.87,100.5,A,3
2025-10-04 20:13:00,2025-10-04 20:13:00,4.4,2,GSM80,GSM80,14.55,3887.0,883.5,0.715,180.9,8.56,1316.0,45.4,0.995,46.7,35.8,0.442,8.06,21.33,100.0,A,3
2025-10-04 22:27:45,2025-10-04 22:27:45,4.5,1,GSM100,GSM100,16.43,4434.0,870.6,0.934,160.4,9.59,1520.2,43.7,1.026,52.3,52.1,0.572,8.39,22.71,99.6,A,3
2025-10-04 23:06:00,2025-10-04 23:06:00,4.5,1,GSM100,GSM100,16.76,4397.0,880.3,0.83,158.1,9.92,1518.7,44.6,1.021,49.1,43.6,0.331,9.5,28.63,99.6,A,3
2025-10-04 23:08:00,2025-10-04 23:08:00,4.5,2,GSM100,GSM100,16.63,4383.0,877.7,0.822,176.5,9.73,1548.6,44.3,0.992,54.3,50.0,0.666,7.87,24.05,100.9,A,3
2025-10-04 23:14:30,2025-10-04 23:14:30,4.5,1,GSM100,GSM100,17.17,4414.0,887.4,0.77,172.9,10.46,1517.6,44.8,1.09,43.5,44.2,0.344,8.68,22.38,98.7,A,3
2025-10-05 02:17:45,2025-10-05 02:17:45,4.6,1,GSM120,GSM120,19.42,4991.0,878.9,0.875,189.2,11.37,1709.7,43.0,1.0,49.7,50.8,0.835,8.2,26.32,97.8,A,3
2025-10-05 02:32:30,2025-10-05 02:32:30,4.7,2,GSM120,GSM120,19.39,5037.0,879.0,0.946,179.1,11.4,1701.4,41.7,1.003,53.7,46.7,0.939,8.61,25.75,99.9,A,3
2025-10-05 02:41:00,2025-10-05 02:41:00,4.7,1,GSM120,GSM120,19.7,5007.0,887.5,0.958,176.3,12.03,1698.4,41.9,1.043,51.6,47.3,0.539,8.12,23.01,103.4,A,3
2025-10-05 02:45:00,2025-10-05 02:45:00,4.7,1,GSM120,GSM120,18.69,4983.0,884.0,0.876,174.3,11.0,1714.6,41.5,1.016,54.4,50.7,0.898,8.26,24.72,93.7,A,3
2025-10-05 02:47:00,2025-10-05 02:47:00,4.7,2,GSM120,GSM120,20.19,4980.0,879.4,0.845,172.2,11.8,1705.8,41.9,1.042,45.8,40.0,0.937,8.06,26.44,101.6,A,3
2025-10-05 04:38:15,2025-10-05 04:38:15,4.7,2,GSM80,GSM80,14.26,3933.0,873.8,0.662,184.2,7.99,1313.8,41.6,0.999,52.9,43.3,0.197,8.43,26.5,98.0,A,3
2025-10-05 04:42:15,2025-10-05 04:42:15,4.7,1,GSM80,GSM80,13.69,3829.0,878.9,0.805,189.8,8.58,1321.4,40.9,1.042,53.1,41.9,0.529,8.89,25.81,103.4,A,3
2025-10-05 05:31:45,2025-10-05 05:31:45,4.8,1,GSM80,GSM80,14.32,3839.0,881.6,0.963,182.1,7.51,1315.6,42.4,1.025,54.2,46.4,0.565,8.37,23.92,103.6,A,3
2025-10-05 05:39:15,2025-10-05 05:39:15,4.8,2,GSM80,GSM80,14.46,3913.0,876.8,0.722,184.0,8.61,1346.1,40.9,1.045,46.1,45.3,0.323,8.3,21.53,97.0,A,3
